,Category,Category_Index,D-C19,D-Ctrl,D-nC19,L-C19,L-Ctrl,L-nC19
0,ecmo_flag (253),0.0 (195),28.7% (56),8.2% (16),13.8% (27),30.8% (60),6.7% (13),11.8% (23)
1,ecmo_flag (253),1.0 (58),53.4% (31),12.1% (7),12.1% (7),15.5% (9),6.9% (4),
2,episode_category (186),CAP (24),12.5% (3),,8.3% (2),41.7% (10),,37.5% (9)
3,episode_category (186),HAP (45),44.4% (20),,20.0% (9),22.2% (10),,13.3% (6)
4,episode_category (186),Non-PNA-ctrl (30),,46.7% (14),,3.3% (1),50.0% (15),
5,episode_category (186),VAP (87),40.2% (35),6.9% (6),17.2% (15),27.6% (24),1.1% (1),6.9% (6)
6,episode_etiology (156),Bacterial (42),14.3% (6),11.9% (5),31.0% (13),7.1% (3),2.4% (1),33.3% (14)
7,episode_etiology (156),Bacterial/viral (46),56.5% (26),,4.3% (2),39.1% (18),,
8,episode_etiology (156),Culture-negative (17),5.9% (1),5.9% (1),47.1% (8),11.8% (2),,29.4% (5)
9,episode_etiology (156),Viral (51),49.0% (25),,5.9% (3),41.2% (21),,3.9% (2)
10,pathogen_virus_detected (251),False (135),20.0% (27),17.0% (23),22.2% (30),13.3% (18),11.9% (16),15.6% (21)
11,pathogen_virus_detected (251),True (116),50.9% (59),,3.4% (4),44.0% (51),,1.7% (2)
12,pathogen_bacteria_detected (251),False (141),29.8% (42),12.8% (18),9.9% (14),30.5% (43),10.6% (15),6.4% (9)
13,pathogen_bacteria_detected (251),True (110),40.0% (44),4.5% (5),18.2% (20),23.6% (26),0.9% (1),12.7% (14)
14,pathogen_fungi_detected (251),False (173),28.3% (49),11.0% (19),10.4% (18),31.8% (55),7.5% (13),11.0% (19)
15,pathogen_fungi_detected (251),True (78),47.4% (37),5.1% (4),20.5% (16),17.9% (14),3.8% (3),5.1% (4)
16,smoking_status (253),Former (48),18.8% (9),12.5% (6),27.1% (13),14.6% (7),12.5% (6),14.6% (7)
17,smoking_status (253),No (115),41.7% (48),8.7% (10),4.3% (5),33.0% (38),4.3% (5),7.8% (9)
18,smoking_status (253),Unknown Smoking Status (75),37.3% (28),9.3% (7),9.3% (7),32.0% (24),4.0% (3),8.0% (6)
19,smoking_status (253),Yes (15),13.3% (2),,60.0% (9),,20.0% (3),6.7% (1)
