Category,Name,ID,Verbose ID,pValue,MOK,MUC16,DYNC2I1,TMEM67,WDR27,CES4A,STK36,ELF3,PLK2,MICAL3,CEP126,KIF27,SPAG17,DNAAF1,H4C16,CFAP44,LINC00342,CCDC30,DNAH5,MUC4,ABCA13,NEIL1,HYDIN,KLF5,CDHR3,DZIP1L,PIK3R3,CFAP157,AHNAK2,DNAH1
GO: Molecular Function,microtubule motor activity,GO:0003777,go-molecular-function_GO:0003777_microtubule_motor_activity,1.41213524386421E-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Molecular Function,minus-end-directed microtubule motor activity,GO:0008569,go-molecular-function_GO:0008569_minus-end-directed_microtubule_motor_activity,3.07139947123219E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Molecular Function,cytoskeletal motor activity,GO:0003774,go-molecular-function_GO:0003774_cytoskeletal_motor_activity,6.57088565547365E-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Molecular Function,dynein light intermediate chain binding,GO:0051959,go-molecular-function_GO:0051959_dynein_light_intermediate_chain_binding,7.52013568956814E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Molecular Function,dynein intermediate chain binding,GO:0045505,go-molecular-function_GO:0045505_dynein_intermediate_chain_binding,0.001314288660510810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Biological Process,cilium assembly,GO:0060271,go-biological-process_GO:0060271_cilium_assembly,4.99910434158713E-15,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
GO: Biological Process,cilium organization,GO:0044782,go-biological-process_GO:0044782_cilium_organization,1.22308285571596E-14,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
GO: Biological Process,plasma membrane bounded cell projection assembly,GO:0120031,go-biological-process_GO:0120031_plasma_membrane_bounded_cell_projection_assembly,3.35630177688304E-14,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1
GO: Biological Process,cell projection assembly,GO:0030031,go-biological-process_GO:0030031_cell_projection_assembly,4.54506389500533E-14,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1
GO: Biological Process,axoneme assembly,GO:0035082,go-biological-process_GO:0035082_axoneme_assembly,1.33372202862971E-12,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
GO: Biological Process,microtubule bundle formation,GO:0001578,go-biological-process_GO:0001578_microtubule_bundle_formation,1.35494637238495E-11,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
GO: Biological Process,cilium movement,GO:0003341,go-biological-process_GO:0003341_cilium_movement,4.05778170351391E-11,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
GO: Biological Process,organelle assembly,GO:0070925,go-biological-process_GO:0070925_organelle_assembly,4.33883702609818E-11,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
GO: Biological Process,epithelial cilium movement involved in extracellular fluid movement,GO:0003351,go-biological-process_GO:0003351_epithelial_cilium_movement_involved_in_extracell...,1.5131942753056E-10,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Biological Process,extracellular transport,GO:0006858,go-biological-process_GO:0006858_extracellular_transport,2.05887248061979E-10,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Biological Process,microtubule-based process,GO:0007017,go-biological-process_GO:0007017_microtubule-based_process,2.88497519103939E-10,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
GO: Biological Process,microtubule-based movement,GO:0007018,go-biological-process_GO:0007018_microtubule-based_movement,4.9580593859169E-10,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
GO: Biological Process,microtubule cytoskeleton organization,GO:0000226,go-biological-process_GO:0000226_microtubule_cytoskeleton_organization,1.08563437682448E-09,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
GO: Biological Process,plasma membrane bounded cell projection organization,GO:0120036,go-biological-process_GO:0120036_plasma_membrane_bounded_cell_projection_organiza...,3.0189336941978E-09,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1
GO: Biological Process,cell projection organization,GO:0030030,go-biological-process_GO:0030030_cell_projection_organization,4.14971982193226E-09,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1
GO: Biological Process,microtubule-based transport,GO:0099111,go-biological-process_GO:0099111_microtubule-based_transport,3.65425067839452E-08,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Biological Process,motile cilium assembly,GO:0044458,go-biological-process_GO:0044458_motile_cilium_assembly,1.14619664609451E-07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,cytoskeleton organization,GO:0007010,go-biological-process_GO:0007010_cytoskeleton_organization,5.7849808214849E-07,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
GO: Biological Process,sperm axoneme assembly,GO:0007288,go-biological-process_GO:0007288_sperm_axoneme_assembly,1.30335569543401E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,ventricular system development,GO:0021591,go-biological-process_GO:0021591_ventricular_system_development,1.83074964017546E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
GO: Biological Process,axonemal dynein complex assembly,GO:0070286,go-biological-process_GO:0070286_axonemal_dynein_complex_assembly,2.30709483918446E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Biological Process,axonemal central apparatus assembly,GO:1904158,go-biological-process_GO:1904158_axonemal_central_apparatus_assembly,2.65670674737227E-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GO: Biological Process,sperm flagellum assembly,GO:0120316,go-biological-process_GO:0120316_sperm_flagellum_assembly,5.91809545419097E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,flagellated sperm motility,GO:0030317,go-biological-process_GO:0030317_flagellated_sperm_motility,1.10665653065455E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
